# wavelength, Lum, Lum_error
3671.4209, 2.511581239e+25, 1.132980229e+24
3671.4822, 2.511749691e+25, 1.134142641e+24
3671.5434, 2.511918146e+25, 1.135309310e+24
3671.6046, 2.512086604e+25, 1.136480225e+24
3671.6659, 2.512255064e+25, 1.137655371e+24
3671.7271, 2.512423527e+25, 1.138834737e+24
3671.7884, 2.512591994e+25, 1.140018309e+24
3671.8496, 2.512760462e+25, 1.141206074e+24
3671.9108, 2.512928934e+25, 1.142398020e+24
3671.9721, 2.513097409e+25, 1.143594134e+24
3672.0333, 2.532712402e+25, 1.143481247e+24
3672.0946, 2.554179002e+25, 1.143257313e+24
3672.1558, 2.575645960e+25, 1.143047797e+24
3672.2171, 2.597113276e+25, 1.142852707e+24
3672.2783, 2.618580949e+25, 1.142672051e+24
3672.3395, 2.640048981e+25, 1.142505837e+24
3672.4008, 2.661517371e+25, 1.142354071e+24
3672.4620, 2.682986120e+25, 1.142216761e+24
3672.5233, 2.704455226e+25, 1.142093912e+24
3672.5845, 2.725924690e+25, 1.141985529e+24
3672.6458, 2.747394512e+25, 1.141891618e+24
3672.7071, 2.768864693e+25, 1.141812182e+24
3672.7683, 2.790335231e+25, 1.141747226e+24
3672.8296, 2.804992712e+25, 1.141390728e+24
3672.8908, 2.762873936e+25, 1.138490879e+24
3672.9521, 2.720754458e+25, 1.135591543e+24
3673.0133, 2.678634278e+25, 1.132692726e+24
3673.0746, 2.636513395e+25, 1.129794431e+24
3673.1359, 2.594391810e+25, 1.126896662e+24
3673.1971, 2.552269522e+25, 1.123999426e+24
3673.2584, 2.510146531e+25, 1.121102725e+24
3673.3196, 2.468022838e+25, 1.118206564e+24
3673.3809, 2.425898443e+25, 1.115310948e+24
3673.4422, 2.383773345e+25, 1.112415883e+24
3673.5034, 2.341647544e+25, 1.109521371e+24
3673.5647, 2.299521041e+25, 1.106627419e+24
3673.6260, 2.257393835e+25, 1.103734030e+24
3673.6873, 2.226944649e+25, 1.101177291e+24
3673.7485, 2.223599356e+25, 1.099402938e+24
3673.8098, 2.220254006e+25, 1.097631988e+24
3673.8711, 2.216908601e+25, 1.095864456e+24
3673.9323, 2.213563140e+25, 1.094100360e+24
3673.9936, 2.210217624e+25, 1.092339716e+24
3674.0549, 2.206872051e+25, 1.090582543e+24
3674.1162, 2.203526423e+25, 1.088828857e+24
3674.1774, 2.200180739e+25, 1.087078675e+24
3674.2387, 2.196834999e+25, 1.085332014e+24
3674.3000, 2.193489203e+25, 1.083588892e+24
3674.3613, 2.190143352e+25, 1.081849327e+24
3674.4226, 2.186797444e+25, 1.080113335e+24
3674.4839, 2.183451481e+25, 1.078380935e+24
3674.5451, 2.187841472e+25, 1.078165708e+24
3674.6064, 2.200122968e+25, 1.079495513e+24
3674.6677, 2.212404670e+25, 1.080825530e+24
3674.7290, 2.224686576e+25, 1.082155756e+24
3674.7903, 2.236968687e+25, 1.083486192e+24
3674.8516, 2.249251003e+25, 1.084816836e+24
3674.9129, 2.261533524e+25, 1.086147689e+24
3674.9742, 2.273816249e+25, 1.087478749e+24
3675.0354, 2.286099180e+25, 1.088810016e+24
3675.0967, 2.298382315e+25, 1.090141488e+24
3675.1580, 2.310665655e+25, 1.091473167e+24
3675.2193, 2.322949201e+25, 1.092805050e+24
3675.2806, 2.335232950e+25, 1.094137137e+24
3675.3419, 2.347516905e+25, 1.095469427e+24
3675.4032, 2.348660292e+25, 1.094684816e+24
3675.4645, 2.344771272e+25, 1.092945142e+24
3675.5258, 2.340882186e+25, 1.091206919e+24
3675.5871, 2.336993036e+25, 1.089470155e+24
3675.6484, 2.333103821e+25, 1.087734856e+24
3675.7097, 2.329214541e+25, 1.086001031e+24
3675.7710, 2.325325196e+25, 1.084268686e+24
3675.8323, 2.321435786e+25, 1.082537829e+24
3675.8937, 2.317546312e+25, 1.080808467e+24
3675.9550, 2.313656772e+25, 1.079080607e+24
3676.0163, 2.309767168e+25, 1.077354257e+24
3676.0776, 2.305877499e+25, 1.075629424e+24
3676.1389, 2.301987764e+25, 1.073906116e+24
3676.2002, 2.298097965e+25, 1.072184341e+24
3676.2615, 2.305984871e+25, 1.071724596e+24
3676.3228, 2.315438816e+25, 1.071433230e+24
3676.3841, 2.324892919e+25, 1.071142483e+24
3676.4455, 2.334347180e+25, 1.070852354e+24
3676.5068, 2.343801598e+25, 1.070562844e+24
3676.5681, 2.353256174e+25, 1.070273955e+24
3676.6294, 2.362710907e+25, 1.069985685e+24
3676.6907, 2.372165799e+25, 1.069698036e+24
3676.7521, 2.381620848e+25, 1.069411009e+24
3676.8134, 2.391076054e+25, 1.069124603e+24
3676.8747, 2.400531419e+25, 1.068838820e+24
3676.9360, 2.409986941e+25, 1.068553660e+24
3676.9973, 2.419442621e+25, 1.068269123e+24
3677.0587, 2.428846756e+25, 1.068027327e+24
3677.1200, 2.437638636e+25, 1.068284853e+24
3677.1813, 2.446430662e+25, 1.068542691e+24
3677.2427, 2.455222835e+25, 1.068800841e+24
3677.3040, 2.464015155e+25, 1.069059302e+24
3677.3653, 2.472807621e+25, 1.069318075e+24
3677.4267, 2.481600234e+25, 1.069577158e+24
3677.4880, 2.490392994e+25, 1.069836553e+24
3677.5493, 2.499185901e+25, 1.070096258e+24
3677.6107, 2.507978953e+25, 1.070356273e+24
3677.6720, 2.516772153e+25, 1.070616599e+24
3677.7333, 2.525565499e+25, 1.070877235e+24
3677.7947, 2.534358992e+25, 1.071138181e+24
3677.8560, 2.543152632e+25, 1.071399436e+24
3677.9173, 2.548323314e+25, 1.071077656e+24
3677.9787, 2.543768264e+25, 1.069192885e+24
3678.0400, 2.539213138e+25, 1.067312549e+24
3678.1014, 2.534657936e+25, 1.065436671e+24
3678.1627, 2.530102659e+25, 1.063565276e+24
