# wavelength, Lum, Lum_error
3665.3639, 4.172148696e+25, 1.848841208e+24
3665.4250, 4.142972642e+25, 1.844213978e+24
3665.4862, 4.113796102e+25, 1.839587726e+24
3665.5473, 4.084619076e+25, 1.834962463e+24
3665.6084, 4.055441563e+25, 1.830338194e+24
3665.6696, 4.026263563e+25, 1.825714929e+24
3665.7307, 3.997085076e+25, 1.821092676e+24
3665.7919, 3.967906103e+25, 1.816471443e+24
3665.8530, 3.938726643e+25, 1.811851238e+24
3665.9141, 3.909546697e+25, 1.807232071e+24
3665.9753, 3.880366263e+25, 1.802613949e+24
3666.0364, 3.851185343e+25, 1.797996882e+24
3666.0976, 3.849980689e+25, 1.797543695e+24
3666.1587, 3.871173176e+25, 1.800426063e+24
3666.2198, 3.892366016e+25, 1.803311952e+24
3666.2810, 3.913559209e+25, 1.806201344e+24
3666.3421, 3.934752756e+25, 1.809094224e+24
3666.4033, 3.955946656e+25, 1.811990575e+24
3666.4644, 3.977140910e+25, 1.814890381e+24
3666.5256, 3.998335518e+25, 1.817793625e+24
3666.5867, 4.019530478e+25, 1.820700293e+24
3666.6479, 4.040725793e+25, 1.823610367e+24
3666.7090, 4.061921461e+25, 1.826523831e+24
3666.7702, 4.083117482e+25, 1.829440671e+24
3666.8314, 4.104313857e+25, 1.832360870e+24
3666.8925, 4.125510585e+25, 1.835284413e+24
3666.9537, 4.153675528e+25, 1.837811362e+24
3667.0148, 4.184182919e+25, 1.840205415e+24
3667.0760, 4.214690818e+25, 1.842600725e+24
3667.1372, 4.245199226e+25, 1.844997288e+24
3667.1983, 4.275708142e+25, 1.847395099e+24
3667.2595, 4.306217568e+25, 1.849794153e+24
3667.3206, 4.336727502e+25, 1.852194447e+24
3667.3818, 4.367237945e+25, 1.854595975e+24
3667.4430, 4.397748898e+25, 1.856998732e+24
3667.5041, 4.428260359e+25, 1.859402715e+24
3667.5653, 4.458772328e+25, 1.861807919e+24
3667.6265, 4.489284807e+25, 1.864214339e+24
3667.6876, 4.519797795e+25, 1.866621970e+24
3667.7488, 4.550311291e+25, 1.869030809e+24
3667.8100, 4.541312723e+25, 1.867786614e+24
