# wavelength, Lum[W], Lum_error [W]
3681.2927, 3.185023912e+25, 1.252839556e+24
3681.3541, 3.175082221e+25, 1.252642130e+24
3681.4155, 3.165140365e+25, 1.252445669e+24
3681.4769, 3.155198343e+25, 1.252250171e+24
3681.5383, 3.145256155e+25, 1.252055639e+24
3681.5997, 3.135313801e+25, 1.251862073e+24
3681.6611, 3.125371282e+25, 1.251669472e+24
3681.7225, 3.115428596e+25, 1.251477839e+24
3681.7839, 3.105485745e+25, 1.251287172e+24
3681.8453, 3.095542728e+25, 1.251097472e+24
3681.9067, 3.085599545e+25, 1.250908741e+24
3681.9681, 3.075656197e+25, 1.250720978e+24
3682.0295, 3.065712682e+25, 1.250534184e+24
3682.0909, 3.055769002e+25, 1.250348360e+24
3682.1523, 3.050275537e+25, 1.250118024e+24
3682.2137, 3.058775395e+25, 1.249745055e+24
3682.2751, 3.067275395e+25, 1.249372097e+24
3682.3366, 3.075775537e+25, 1.248999151e+24
3682.3980, 3.084275821e+25, 1.248626215e+24
3682.4594, 3.092776247e+25, 1.248253290e+24
3682.5208, 3.101276814e+25, 1.247880377e+24
3682.5822, 3.109777523e+25, 1.247507474e+24
3682.6436, 3.118278374e+25, 1.247134583e+24
3682.7051, 3.126779366e+25, 1.246761702e+24
