ra, dec, MJD, MANGAID, Type,Radial Velocity (km/s),Guessed Spectral Type,Guessed [Fe/H],User Spectral Type,User [Fe/H]
141.15619,+028.06941,57474,4-2949,csv,-37.94166666555421,A0,+0.0,nan,nan
141.35021,+027.99982,57360,4-2945,csv,-32.633333332376516,A7,+0.0,nan,nan
141.35021,+027.99982,57471,4-2945,csv,-2.6749999999215586,F7,+0.0,nan,nan
141.35021,+027.99982,57474,4-2945,csv,-10.304999999697866,F7,+0.0,nan,nan
141.42497,+028.44811,57360,4-2957,csv,49.688333331876485,F4,-1.5,nan,nan
141.42497,+028.44811,57471,4-2957,csv,1.497499999956089,F4,-1.5,nan,nan
141.42497,+028.44811,57474,4-2957,csv,5.247499999846145,F5,-2.0,nan,nan
141.75107,+028.13670,57358,4-2676,csv,6.498333333142804,F1,-1.5,nan,nan
141.75107,+028.13670,57361,4-2676,csv,-1.7216666666161906,F1,-1.5,nan,nan
141.75107,+028.13670,57409,4-2676,csv,-0.23666666665972472,F1,-1.5,nan,nan
141.75107,+028.13670,57414,4-2676,csv,4.161666666544647,F4,-1.5,nan,nan
141.78483,+055.58795,57712,3-152400105,csv,3.3833333332341464,M0,+0.5,nan,nan
141.78483,+055.58795,57795,3-152400105,csv,-11.282499999669186,K3,-1.0,nan,nan
141.94213,+048.16986,57829,3-149567545,csv,0.2424999999928932,K5,-2.0,nan,nan
141.94213,+048.16986,57856,3-149567545,csv,-1.4066666666254222,K5,-2.0,nan,nan
141.97915,+029.07356,57474,4-2954,csv,16.218333332857796,A7,+0.0,nan,nan
142.33873,+026.50468,57358,4-2558,csv,-2.706666666587303,K3,-1.0,nan,nan
142.33873,+026.50468,57361,4-2558,csv,-27.01666666587454,K7,+0.5,nan,nan
142.33873,+026.50468,57409,4-2558,csv,-27.618333332523548,K7,+0.5,nan,nan
142.33873,+026.50468,57414,4-2558,csv,4.921666666522362,K2,+0.5,nan,nan
142.45946,+028.51484,57358,4-2373,csv,-4.5099999998677776,K5,-0.5,nan,nan
142.45946,+028.51484,57361,4-2373,csv,-0.10833333333016852,K3,-1.0,nan,nan
142.45946,+028.51484,57409,4-2373,csv,0.40666666665473744,K2,+0.5,nan,nan
142.45946,+028.51484,57414,4-2373,csv,0.5583333333169582,K2,+0.5,nan,nan
142.58623,+048.87419,57820,3-149693286,csv,-12.489999999633785,G4,-1.5,nan,nan
142.58623,+048.87419,57829,3-149693286,csv,0.9266666666395023,G5,-1.5,nan,nan
142.58623,+048.87419,57856,3-149693286,csv,-0.6083333333155018,K4,-2.0,nan,nan
142.58623,+048.87419,57826,3-149693286,csv,-3.2599999999044127,K4,+0.5,nan,nan
142.58623,+048.87419,57851,3-149693286,csv,0.19999999999413257,K5,-2.0,nan,nan
142.91873,+026.80858,57360,4-2980,csv,-13.209999999612686,F5,-2.0,nan,nan
142.91873,+026.80858,57471,4-2980,csv,8.933333333071403,F5,-2.0,nan,nan
142.91873,+026.80858,57474,4-2980,csv,-5.756666666497883,G4,-0.5,nan,nan
143.03156,+055.36053,57821,3-152042065,csv,-8.116666666428687,G8,+0.0,nan,nan
143.03156,+055.36053,57825,3-152042065,csv,-9.327499999726525,G9,-0.5,nan,nan
143.03156,+055.36053,57829,3-152042065,csv,-5.039999999852223,G6,-0.5,nan,nan
143.03156,+055.36053,57849,3-152042065,csv,0.19833333332752337,G6,-0.5,nan,nan
143.03409,+026.79849,57360,4-2071,csv,0.28499999999165626,G0,-0.5,nan,nan
143.03409,+026.79849,57471,4-2071,csv,6.629999999805607,F0,+0.5,nan,nan
143.03409,+026.79849,57474,4-2071,csv,18.59499999945478,A6,-0.5,nan,nan
143.07443,+027.48638,57358,4-2838,csv,-10.652499999687675,F2,-1.5,nan,nan
143.07443,+027.48638,57409,4-2838,csv,-12.689999999627927,F3,-1.0,nan,nan
143.07443,+027.48638,57414,4-2838,csv,-8.104999999762367,F2,-1.5,nan,nan
143.30818,+047.95399,57829,3-149060540,csv,-7.979999999766011,M0,-0.5,nan,nan
143.30818,+047.95399,57856,3-149060540,csv,1.0016666666372898,K7,+0.5,nan,nan
143.30818,+047.95399,57850,3-149060540,csv,-0.284999999991647,K5,-0.5,nan,nan
143.30818,+047.95399,57851,3-149060540,csv,-35.06833333230515,B6,+0.0,nan,nan
150.37730,+026.13869,57820,3-133386608,csv,-1.3674999999599136,G0,-0.5,nan,nan
150.37730,+026.13869,57824,3-133386608,csv,5.3783333331756396,G0,-0.5,nan,nan
150.70390,+026.89851,57796,3-134070255,csv,2.182499999936025,G3,-1.0,nan,nan
150.70390,+026.89851,57819,3-134070255,csv,6.294999999815431,F7,-2.0,nan,nan
150.70390,+026.89851,57825,3-134070255,csv,15.844999999535425,G0,-0.5,nan,nan
151.45118,+025.29527,57793,3-131723461,csv,-2.1383333332706345,K2,+0.5,nan,nan
151.45118,+025.29527,57796,3-131723461,csv,-2.999999999912047,K1,+0.5,nan,nan
151.45118,+025.29527,57819,3-131723461,csv,-6.438333333144548,G3,+0.0,nan,nan
151.45118,+025.29527,57825,3-131723461,csv,2.9874999999124063,G0,-0.5,nan,nan
151.60343,+025.19560,57820,3-131370354,csv,-0.1949999999942885,K2,+0.5,nan,nan
151.60343,+025.19560,57824,3-131370354,csv,-1.0966666666345197,K3,+0.5,nan,nan
151.78146,+026.77083,57820,3-132716437,csv,-12.204999999642137,M3,+0.5,nan,nan
151.78146,+026.77083,57824,3-132716437,csv,-12.761666666292491,M3,+0.5,nan,nan
151.93755,+027.14659,57793,3-133050826,csv,2.1899999999357944,G6,+0.0,nan,nan
151.93755,+027.14659,57819,3-133050826,csv,4.224999999876119,G6,+0.0,nan,nan
151.93755,+027.14659,57825,3-133050826,csv,6.573333333140596,G6,+0.0,nan,nan
152.41322,+026.88314,57794,3-132383074,csv,3.3374999999021484,F7,+0.0,nan,nan
152.41322,+026.88314,57820,3-132383074,csv,8.384999999754152,G3,+0.0,nan,nan
152.41322,+026.88314,57824,3-132383074,csv,-5.014999999852964,G4,-0.5,nan,nan
152.61422,+025.81197,57821,3-131020145,csv,-12.497499999633565,G7,-1.5,nan,nan
152.61422,+025.81197,57826,3-131020145,csv,3.236666666571774,G7,-1.5,nan,nan
153.03094,+026.72074,57820,3-131723126,csv,-13.929999999591587,G4,-0.5,nan,nan
153.05813,+026.73792,57793,3-131723125,csv,-0.48499999998578014,K4,+0.5,nan,nan
153.05813,+026.73792,57796,3-131723125,csv,4.7216666665282245,K3,-1.0,nan,nan
153.05813,+026.73792,57819,3-131723125,csv,2.002499999941282,K3,-1.0,nan,nan
153.08356,+025.45695,57821,3-130323870,csv,10.182499999701456,G0,-0.5,nan,nan
153.08356,+025.45695,57826,3-130323870,csv,-5.602499999835725,F6,-0.5,nan,nan
155.14280,+014.82523,57056,4-13325,csv,-3.776666666555928,G5,+0.0,nan,nan
155.14280,+014.82523,57060,4-13325,csv,-10.183333333034758,G8,+0.0,nan,nan
155.14280,+014.82523,57063,4-13325,csv,-7.564999999778191,G8,+0.0,nan,nan
155.14280,+014.82523,57064,4-13325,csv,-8.843333333074051,G3,+0.0,nan,nan
155.14280,+014.82523,57079,4-13325,csv,-16.3666666661868,F2,-0.5,nan,nan
155.93644,+015.94268,57056,4-13177,csv,-0.7616666666443429,G5,-1.5,nan,nan
155.93644,+015.94268,57060,4-13177,csv,-2.66666666658848,G4,-1.5,nan,nan
155.93644,+015.94268,57063,4-13177,csv,-4.267499999874884,G4,-1.5,nan,nan
155.93644,+015.94268,57064,4-13177,csv,2.9116666665812994,G4,-1.5,nan,nan
155.93644,+015.94268,57079,4-13177,csv,32.241666665721326,F3,-2.0,nan,nan
158.95983,+025.18790,57852,3-125353259,csv,-6.166666666485863,G3,+0.0,nan,nan
159.21672,+025.58140,57473,3-125612648,csv,6.656666666471487,G5,+0.0,nan,nan
159.21672,+025.58140,57852,3-125612648,csv,7.7799999997718885,G6,+0.0,nan,nan
160.31782,+025.08364,57391,3-124285105,csv,-5.548333333170656,K1,+0.5,nan,nan
160.31782,+025.08364,57416,3-124285105,csv,2.5966666665905316,G5,+0.0,nan,nan
161.07523,+039.12540,57850,3-135335695,csv,-2.093333333271962,G1,+0.0,nan,nan
161.23820,+038.77745,57762,3-135037860,csv,-4.013333333215669,G1,+0.0,nan,nan
161.23820,+038.77745,57823,3-135037860,csv,4.5074999998678384,G0,-0.5,nan,nan
161.98968,-002.75814,57435,3-110441670,csv,-7.2133333331218354,K3,-2.0,nan,nan
161.98968,-002.75814,57440,3-110441670,csv,11.554999999661216,K3,-2.0,nan,nan
161.98968,-002.75814,57467,3-110441670,csv,-3.76499999988961,M1,-0.5,nan,nan
161.98968,-002.75814,57471,3-110441670,csv,-12.683333332961455,M0,-0.5,nan,nan
163.51919,-003.53677,57828,7-7638537,csv,18.11833333280211,C3,+0.0,nan,nan
163.58408,+048.95203,57876,3-142445755,csv,1.9183333332770778,K4,-2.0,nan,nan
163.58408,+048.95203,57878,3-142445755,csv,0.5749999999831498,K4,+0.5,nan,nan
163.58408,+048.95203,57887,3-142445755,csv,-5.3799999998422665,K1,+0.5,nan,nan
163.80818,+048.96309,57876,3-142262411,csv,7.873333333102491,K4,+0.5,nan,nan
163.80818,+048.96309,57883,3-142262411,csv,80.67333333096799,M0,+0.5,nan,nan
163.86465,-002.76131,57735,7-7557614,csv,-8.98833333306979,M0,-0.5,nan,nan
163.86465,-002.76131,57828,7-7557614,csv,-19.21833333276986,K3,-1.0,nan,nan
163.97675,-003.07670,57735,3-110099835,csv,3.0449999999107225,K2,+0.5,nan,nan
163.97675,-003.07670,57794,3-110099835,csv,2.593333333257297,K2,+0.5,nan,nan
163.97675,-003.07670,57828,3-110099835,csv,13.579999999601837,G8,+0.0,nan,nan
164.12292,-002.58138,57434,3-110152864,csv,189.1833333277865,WD1,+0.0,nan,nan
164.12292,-002.58138,57444,3-110152864,csv,83.82499999754225,WD1,+0.0,nan,nan
164.12292,-002.58138,57462,3-110152864,csv,-12.579999999631157,G3,-1.0,nan,nan
164.24448,-003.15266,57435,3-110047400,csv,-8.144999999761183,F7,+0.0,nan,nan
164.24448,-003.15266,57440,3-110047400,csv,-3.2849999999036847,F7,+0.0,nan,nan
164.24448,-003.15266,57445,3-110047400,csv,-10.396666666361842,G2,-1.5,nan,nan
164.24448,-003.15266,57467,3-110047400,csv,-21.517499999369107,G4,-0.5,nan,nan
164.24448,-003.15266,57471,3-110047400,csv,7.38499999978347,G5,-0.5,nan,nan
164.26211,+049.40577,57876,3-142445684,csv,2.2149999999350514,K4,-2.0,nan,nan
164.27935,-002.57884,57445,3-110152845,csv,-22.049999999353496,F3,+0.0,nan,nan
164.27935,-002.57884,57471,3-110152845,csv,1.624999999952358,G4,-0.5,nan,nan
164.48783,+048.23071,57878,3-141269006,csv,48.05666666525764,F3,+0.0,nan,nan
164.75900,+010.46694,57795,3-113585414,csv,-12.246666666307602,F7,+0.0,nan,nan
