# wavelength, Lum[W/AA], LumErr[W/AA]
3608.5152, nan, nan
3608.6240, nan, nan
3608.7327, nan, nan
3608.8414, nan, nan
3608.9502, nan, nan
3609.0589, nan, nan
3609.1676, nan, nan
3609.2764, nan, nan
3609.3851, nan, nan
3609.4938, nan, nan
3609.6026, nan, nan
3609.7113, nan, nan
3609.8200, nan, nan
3609.9288, nan, nan
3610.0375, nan, nan
3610.1462, nan, nan
3610.2550, nan, nan
3610.3637, nan, nan
3610.4724, nan, nan
3610.5812, nan, nan
3610.6899, nan, nan
3610.7986, nan, nan
3610.9074, nan, nan
3611.0161, nan, nan
3611.1248, nan, nan
3611.2335, nan, nan
3611.3423, nan, nan
3611.4510, nan, nan
3611.5597, nan, nan
3611.6685, nan, nan
3611.7772, nan, nan
3611.8859, nan, nan
3611.9947, nan, nan
3612.1034, nan, nan
3612.2121, nan, nan
3612.3209, nan, nan
3612.4296, nan, nan
3612.5383, nan, nan
3612.6471, nan, nan
3612.7558, nan, nan
3612.8645, nan, nan
3612.9733, nan, nan
3613.0820, nan, nan
3613.1907, nan, nan
3613.2995, nan, nan
3613.4082, nan, nan
3613.5169, nan, nan
3613.6257, nan, nan
3613.7344, nan, nan
3613.8431, nan, nan
3613.9519, nan, nan
3614.0606, nan, nan
3614.1693, nan, nan
3614.2781, nan, nan
3614.3868, nan, nan
3614.4955, nan, nan
3614.6043, nan, nan
3614.7130, nan, nan
3614.8217, nan, nan
3614.9305, nan, nan
3615.0392, nan, nan
3615.1479, nan, nan
3615.2567, nan, nan
3615.3654, nan, nan
3615.4741, nan, nan
3615.5829, nan, nan
3615.6916, nan, nan
3615.8003, nan, nan
3615.9091, nan, nan
3616.0178, nan, nan
3616.1265, nan, nan
3616.2353, nan, nan
3616.3440, nan, nan
3616.4527, nan, nan
3616.5615, nan, nan
3616.6702, nan, nan
3616.7789, nan, nan
3616.8876, nan, nan
3616.9964, nan, nan
3617.1051, nan, nan
3617.2138, nan, nan
3617.3226, nan, nan
3617.4313, nan, nan
3617.5400, nan, nan
3617.6488, nan, nan
3617.7575, nan, nan
3617.8662, nan, nan
3617.9750, nan, nan
3618.0837, nan, nan
3618.1924, nan, nan
3618.3012, nan, nan
3618.4099, nan, nan
3618.5186, nan, nan
3618.6274, nan, nan
3618.7361, nan, nan
3618.8448, nan, nan
3618.9536, nan, nan
3619.0623, nan, nan
3619.1710, nan, nan
3619.2798, nan, nan
3619.3885, nan, nan
3619.4972, nan, nan
3619.6060, nan, nan
3619.7147, nan, nan
3619.8234, nan, nan
3619.9322, nan, nan
3620.0409, nan, nan
3620.1496, nan, nan
3620.2584, nan, nan
3620.3671, nan, nan
3620.4758, nan, nan
3620.5846, nan, nan
3620.6933, nan, nan
3620.8020, nan, nan
3620.9108, nan, nan
3621.0195, nan, nan
3621.1282, nan, nan
3621.2370, nan, nan
3621.3457, nan, nan
3621.4544, nan, nan
3621.5632, nan, nan
3621.6719, nan, nan
3621.7806, nan, nan
3621.8894, nan, nan
3621.9981, nan, nan
3622.1068, nan, nan
3622.2156, nan, nan
3622.3243, nan, nan
3622.4330, nan, nan
3622.5417, nan, nan
3622.6505, nan, nan
3622.7592, nan, nan
3622.8679, nan, nan
3622.9767, nan, nan
3623.0854, nan, nan
3623.1941, nan, nan
3623.3029, nan, nan
3623.4116, nan, nan
3623.5203, nan, nan
3623.6291, nan, nan
3623.7378, nan, nan
3623.8465, nan, nan
3623.9553, nan, nan
3624.0640, nan, nan
3624.1727, nan, nan
3624.2815, nan, nan
3624.3902, nan, nan
3624.4989, nan, nan
3624.6077, nan, nan
3624.7164, nan, nan
3624.8251, nan, nan
3624.9339, nan, nan
3625.0426, nan, nan
3625.1513, nan, nan
3625.2601, nan, nan
3625.3688, nan, nan
3625.4775, nan, nan
3625.5863, nan, nan
3625.6950, nan, nan
