# wavelength, Lumniosty[W/AA], Error
3.793149800000000141e+03,1.620177381077857547e+22,5.396822693372141896e+20
3.794023400000000038e+03,1.588005770338685787e+22,5.280365039393273283e+20
3.794897100000000137e+03,1.439396691151388515e+22,5.162486872173687603e+20
3.795771000000000186e+03,1.452202399196368601e+22,5.095271095121385882e+20
3.796645100000000184e+03,1.408661255959900009e+22,5.077412171077038244e+20
3.797519400000000132e+03,1.434684728931207086e+22,5.013003743970339717e+20
3.798393900000000031e+03,1.321099400723026464e+22,4.889257030451738706e+20
3.799268599999999878e+03,1.155200593345782376e+22,4.557225348584198636e+20
3.800143500000000131e+03,1.184256120064939603e+22,4.703461403496999158e+20
3.801018599999999878e+03,1.474472418787953371e+22,5.029201482991954166e+20
3.801893999999999778e+03,1.613157047513686789e+22,5.250124882492778742e+20
3.802769499999999880e+03,1.671443091410089568e+22,5.360239556986033275e+20
3.803645199999999932e+03,1.832645964981171388e+22,5.575837362538440950e+20
3.804521099999999933e+03,1.929520619296867641e+22,5.602595577666792325e+20
3.805397300000000087e+03,1.869476892728125869e+22,5.519913061377323172e+20
3.806273599999999988e+03,1.843082638095170090e+22,5.433067160489986621e+20
3.807150099999999838e+03,1.690166286587965263e+22,5.232161815737183764e+20
3.808026800000000094e+03,1.583796424699532018e+22,5.117712706223601091e+20
3.808903800000000047e+03,1.674752820483415710e+22,5.241716650864219914e+20
3.809780900000000202e+03,1.821834057176358846e+22,5.389235236598513664e+20
3.810658199999999852e+03,1.879953408049034769e+22,5.503154279226618020e+20
3.811535800000000108e+03,1.941041857982811131e+22,5.500624294280536392e+20
3.812413500000000113e+03,1.724846504451838784e+22,5.241856015880753644e+20
3.813291499999999814e+03,1.640769988866573808e+22,5.043001525060436623e+20
3.814169600000000173e+03,1.511731438476149444e+22,4.847245211644494479e+20
3.815047900000000027e+03,1.262935135886498175e+22,4.514325660236140380e+20
3.815926500000000033e+03,1.089424355002644693e+22,4.234750816086211297e+20
3.816805199999999786e+03,1.084794090093987601e+22,4.212261854495482839e+20
3.817684200000000146e+03,1.112953181145784543e+22,4.280363488420545823e+20
3.818563400000000001e+03,1.194237066746096150e+22,4.405019374563742843e+20
3.819442700000000059e+03,1.231340197092104602e+22,4.412474720461181420e+20
3.820322299999999814e+03,1.148659483520539820e+22,4.262558923366230262e+20
3.821202000000000226e+03,9.851403919499674518e+21,3.979905448599681106e+20
3.822081999999999880e+03,8.711974227659166056e+21,3.860776103181459784e+20
3.822962199999999939e+03,1.056959988513619155e+22,4.074688687740621947e+20
3.823842500000000200e+03,1.159579996299533799e+22,4.251810826413482967e+20
3.824723100000000159e+03,1.067021652364846799e+22,4.032560069511959675e+20
3.825603900000000067e+03,9.282823687000109875e+21,3.870594906597621760e+20
3.826484899999999925e+03,8.676774124993934000e+21,3.680113594594349548e+20
3.827365999999999985e+03,7.397839963567634252e+21,3.509810527657924362e+20
3.828247400000000198e+03,6.973742130667939955e+21,3.428201372251960115e+20
3.829128999999999905e+03,7.409781247902591484e+21,3.520340223586094940e+20
3.830010800000000017e+03,7.537250678248739701e+21,3.532321386665541632e+20
3.830892800000000079e+03,7.119663938390549594e+21,3.505636017797209129e+20
3.831775000000000091e+03,7.596648354874698760e+21,3.512332323792498196e+20
3.832657400000000052e+03,7.424366769646564540e+21,3.445153949841694392e+20
3.833539999999999964e+03,6.517437989430135620e+21,3.345581397350751273e+20
3.834422799999999825e+03,6.705840002829108904e+21,3.326958320819498516e+20
3.835305800000000090e+03,7.692142264118808674e+21,3.484559038291027558e+20
3.836188999999999851e+03,8.197608452034036498e+21,3.560325544440068178e+20
3.837072500000000218e+03,9.089234949300540146e+21,3.677600381540874977e+20
