# wavelength, Lumniosty[W/AA], Error
3.680442199999999957e+03,1.978105751531704549e+21,7.698715276658876416e+19
3.681289699999999812e+03,1.952427887433037382e+21,7.604443412861530931e+19
3.682137499999999818e+03,2.182442912031395021e+21,7.834135129391556198e+19
3.682985400000000027e+03,2.326253509992192934e+21,8.149260007927264051e+19
3.683833599999999933e+03,2.674604924337516446e+21,8.472980796418165965e+19
3.684681900000000041e+03,2.725634940155892597e+21,8.647837554172587213e+19
3.685530400000000100e+03,2.605942757113060131e+21,8.430377141916940698e+19
3.686379100000000108e+03,2.620541955926345122e+21,8.318006238153855795e+19
3.687228099999999813e+03,2.275104933161037726e+21,7.809048694329489818e+19
3.688077200000000175e+03,1.878740984055322903e+21,7.347821230531724902e+19
3.688926500000000033e+03,1.899507789325702005e+21,7.278392155549859021e+19
3.689775999999999840e+03,2.171768955893257601e+21,7.659950056588800819e+19
3.690625700000000052e+03,2.678696171221047837e+21,8.484229739146942874e+19
3.691475600000000213e+03,3.444306875548628943e+21,9.250145269821097574e+19
3.692325699999999870e+03,3.774314427354012189e+21,9.670609545631362253e+19
3.693175999999999931e+03,3.545741995507390087e+21,9.481668571982489190e+19
3.694026400000000194e+03,3.243803595989459665e+21,9.036783868139110400e+19
3.694877100000000155e+03,2.971466561093466325e+21,8.696775348765999104e+19
3.695728000000000065e+03,2.922609721278189273e+21,8.609550954507473715e+19
3.696579099999999926e+03,3.288450578536247329e+21,8.881720215320158208e+19
3.697430299999999988e+03,3.268080501747389301e+21,9.006571377423936717e+19
3.698281800000000203e+03,3.536857012897177928e+21,9.157100621699512730e+19
3.699133499999999913e+03,3.612809448483003040e+21,9.354473100254424269e+19
3.699985299999999825e+03,3.668807162558186258e+21,9.349918379405452902e+19
3.700837399999999889e+03,3.831412963455244173e+21,9.450436722780633498e+19
3.701689600000000155e+03,3.588804285480878735e+21,9.267267682303777178e+19
3.702542100000000119e+03,3.470307629992917336e+21,9.013061193821401907e+19
3.703394699999999830e+03,3.225212619114025583e+21,8.760555001064293990e+19
3.704247499999999945e+03,2.859011367355988050e+21,8.217062890641081958e+19
3.705100600000000213e+03,2.321224873894112133e+21,7.537751746875644314e+19
3.705953799999999774e+03,1.684184148221167927e+21,6.614309816814230733e+19
3.706807200000000194e+03,1.407824511617437008e+21,6.153849172409075302e+19
3.707660800000000108e+03,1.503664040680312537e+21,6.220515466247612826e+19
3.708514700000000175e+03,1.529055899926728016e+21,6.168902849434572390e+19
3.709368699999999990e+03,1.464285451861390787e+21,6.053836438529284506e+19
3.710222900000000209e+03,1.556901069205302936e+21,6.126295867560948531e+19
3.711077299999999923e+03,2.022602964912641409e+21,6.746718797800304640e+19
3.711931900000000041e+03,2.723453482538297721e+21,7.594420441818988544e+19
3.712786700000000110e+03,3.261149365246325424e+21,8.324202136362963763e+19
3.713641700000000128e+03,3.647806165575962460e+21,8.796741333446357811e+19
3.714496900000000096e+03,3.860598516046681866e+21,9.098266292805358387e+19
3.715352300000000014e+03,3.796703147101286040e+21,8.992547245115893350e+19
3.716207899999999881e+03,3.413576137653654913e+21,8.602362098740492698e+19
3.717063700000000154e+03,2.929893122358919561e+21,7.929757399637783347e+19
3.717919699999999921e+03,2.394930595461757665e+21,7.193804312126482842e+19
3.718775799999999890e+03,1.897308529597293789e+21,6.490785255190700032e+19
3.719632200000000012e+03,1.423881869556888109e+21,5.662301041484692685e+19
3.720488800000000083e+03,9.846705723183468380e+20,4.934317493443334963e+19
3.721345600000000104e+03,7.325999579291962573e+20,4.402241245747236864e+19
