# wavelength, Lumniosty[W/AA], Error
3.741967399999999998e+03,4.015171714216430797e+20,6.985849393022504141e+19
3.742829099999999926e+03,2.036585420638094623e+20,6.677453795579392819e+19
3.743690999999999804e+03,1.688020877257230909e+20,6.375697433361888870e+19
3.744553199999999833e+03,3.428179896068775608e+20,6.362467418008642355e+19
3.745415500000000065e+03,2.287757352688907387e+20,5.894449537040683008e+19
3.746277999999999793e+03,1.281570946683614986e+20,5.522638915211310694e+19
3.747140699999999924e+03,1.120451562974403297e+20,5.397928332394885120e+19
3.748003600000000006e+03,1.607483042438913393e+20,5.466299213266497536e+19
3.748866700000000037e+03,2.091563079850238280e+20,5.463007799130334822e+19
3.749730000000000018e+03,2.217653839343099249e+20,5.364436610102593946e+19
3.750593499999999949e+03,2.311746156974889370e+20,5.588635219999182029e+19
3.751457199999999830e+03,2.903099286325324677e+20,5.986572151216333619e+19
3.752321100000000115e+03,2.294764521618365809e+20,6.186892238513382195e+19
3.753185199999999895e+03,2.093535715210643046e+20,6.356677549511811891e+19
3.754049500000000080e+03,3.203264176457982280e+20,6.605105643918653850e+19
3.754914000000000215e+03,4.235916574920224932e+20,6.921667870422597632e+19
3.755778699999999844e+03,3.309798287636063846e+20,6.847823443378067046e+19
3.756643599999999878e+03,4.029993728976579461e+20,6.967069724154827571e+19
3.757508699999999862e+03,3.126958883688013496e+20,6.465170675453127066e+19
3.758373999999999796e+03,3.032274685808277586e+20,6.121826901739954995e+19
3.759239500000000135e+03,3.550058130108496609e+20,5.921694938564036198e+19
3.760105199999999968e+03,2.859064658616466473e+20,5.844018045027038003e+19
3.760971100000000206e+03,2.282897687514801439e+20,5.925475377888438682e+19
3.761837199999999939e+03,2.773388978661809193e+20,6.103572608086283059e+19
3.762703500000000076e+03,4.525347809095242220e+20,6.431142214633706291e+19
3.763570000000000164e+03,4.617990740174887322e+20,6.314036252813153075e+19
3.764436700000000201e+03,2.890548195431204782e+20,6.014374482641718477e+19
3.765303600000000188e+03,2.358679521619451904e+20,5.967698535650617754e+19
3.766170700000000124e+03,4.005821743555064627e+20,6.183764562238243635e+19
3.767038000000000011e+03,3.537414260222487429e+20,5.992718408999324877e+19
3.767905499999999847e+03,3.238194174455808000e+20,5.929789491801214157e+19
3.768773200000000088e+03,3.362714601664010650e+20,5.865833430889393357e+19
3.769641099999999824e+03,3.924535383487833702e+20,6.103635216095240192e+19
3.770509199999999964e+03,5.011140312295219528e+20,6.150991690989640909e+19
3.771377500000000055e+03,3.541785291978858824e+20,6.131999498856850227e+19
3.772245899999999892e+03,5.631040052293515346e+20,6.368744654212494950e+19
3.773114599999999882e+03,5.522931527179164058e+20,6.543844549540053811e+19
3.773983499999999822e+03,4.678521501220129997e+20,6.573656954250065510e+19
3.774852600000000166e+03,5.204462579545489408e+20,6.518338029940559872e+19
3.775721900000000005e+03,3.475681098229188526e+20,6.850273353024225280e+19
3.776591399999999794e+03,4.112002942653526180e+20,6.788952471797716582e+19
3.777461099999999988e+03,3.405053322719855903e+20,6.769251537759051776e+19
3.778331000000000131e+03,4.540002903398352159e+20,6.888700023899440742e+19
3.779201100000000224e+03,5.911391915608830116e+20,7.052117319186850611e+19
3.780071399999999812e+03,4.727737960187736228e+20,7.045170361067782963e+19
3.780941899999999805e+03,5.062141441528102257e+20,7.042730095905467597e+19
